City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
365,saint-pierre,-21.34,55.48,68.0,68,40,10.29,RE,1590286689
366,hit,33.64,42.83,81.97,30,95,6.44,IQ,1590286689
367,kaabong,3.48,34.15,63.64,83,6,8.9,UG,1590286689
368,balod,20.73,81.2,93.04,22,12,15.05,IN,1590286690
369,yaan,7.38,8.57,78.17,83,100,7.87,NG,1590286690
370,nevel,56.02,29.93,36.03,87,2,0.76,RU,1590286691
371,amarante do maranhao,-5.57,-46.74,74.26,88,0,2.1,BR,1590286692
372,conde,-7.26,-34.91,73.4,100,75,4.7,BR,1590286692
373,teya,60.38,92.63,73.38,32,0,4.9,RU,1590286693
374,wajid,3.81,43.25,72.01,82,6,14.07,SO,1590286693
375,shenjiamen,29.96,122.3,72.25,86,0,7.11,CN,1590286693
376,keningau,5.34,116.16,87.8,84,20,4.7,MY,1590286693
377,lujan,-34.57,-59.1,46.99,79,97,4.81,AR,1590286693
378,dingle,11.0,122.67,89.29,62,100,5.32,PH,1590286694
379,belyy yar,53.6,91.39,64.4,63,0,2.24,RU,1590286694
380,kostomuksha,64.57,30.58,42.22,66,0,6.24,RU,1590286694
381,ormara,25.21,64.64,82.04,86,3,16.04,PK,1590286694
382,pompeia,-22.11,-50.17,50.11,84,100,4.07,BR,1590286695
383,mwanza,-2.52,32.9,66.2,72,20,5.82,TZ,1590286695
384,harper,4.38,-7.72,78.01,86,64,2.84,LR,1590286584
